City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Snowfall,Rainfall
0,Arraial Do Cabo,BR,2020-07-12 22:31:43,-22.97,-42.03,77.0,61,62,5.82,broken clouds,0,0.0
1,Saldanha,ZA,2020-07-12 22:31:43,-33.01,17.94,57.2,82,58,25.28,moderate rain,0,1.65
2,Te Anau,NZ,2020-07-12 22:28:57,-45.42,167.72,35.8,85,5,1.43,clear sky,0,0.0
3,Jamestown,US,2020-07-12 22:28:41,42.1,-79.24,73.99,73,1,10.29,clear sky,0,0.0
4,Upernavik,GL,2020-07-12 22:29:04,72.79,-56.15,41.86,84,97,9.89,overcast clouds,0,0.0
5,Narsaq,GL,2020-07-12 22:31:38,60.92,-46.05,53.6,54,100,4.7,light rain,0,0.29
6,Busselton,AU,2020-07-12 22:30:31,-33.65,115.33,55.0,79,40,14.12,light rain,0,0.22
7,Longyearbyen,SJ,2020-07-12 22:31:44,78.22,15.64,46.4,81,75,2.24,broken clouds,0,0.0
8,Rikitea,PF,2020-07-12 22:30:09,-23.12,-134.97,71.15,72,0,15.7,clear sky,0,0.0
9,Hobart,AU,2020-07-12 22:27:16,-42.88,147.33,39.2,93,75,10.29,broken clouds,0,0.0
10,Naron,ES,2020-07-12 22:31:45,43.52,-8.15,66.99,80,0,8.99,clear sky,0,0.0
11,Kapaa,US,2020-07-12 22:31:46,22.08,-159.32,82.4,69,20,18.34,few clouds,0,0.0
12,Kayerkan,RU,2020-07-12 22:31:46,69.35,87.76,53.6,76,75,4.47,broken clouds,0,0.0
13,Albany,US,2020-07-12 22:31:46,42.6,-73.97,86.0,70,9,7.49,clear sky,0,0.0
14,Bongor,TD,2020-07-12 22:31:46,10.28,15.37,76.46,79,55,4.0,broken clouds,0,0.0
15,Ushuaia,AR,2020-07-12 22:29:05,-54.8,-68.3,35.6,93,40,17.22,scattered clouds,0,0.0
16,Port Alfred,ZA,2020-07-12 22:31:47,-33.59,26.89,58.14,36,0,10.45,clear sky,0,0.0
17,Vila Franca Do Campo,PT,2020-07-12 22:27:44,37.72,-25.43,68.0,72,75,6.93,broken clouds,0,0.0
18,Port Elizabeth,ZA,2020-07-12 22:26:47,-33.92,25.57,44.6,87,0,3.36,clear sky,0,0.0
19,Bluff,NZ,2020-07-12 22:30:04,-46.6,168.33,39.0,83,89,3.0,overcast clouds,0,0.0
20,Namatanai,PG,2020-07-12 22:30:24,-3.67,152.43,76.53,88,100,5.75,light rain,0,0.69
21,Bethel,US,2020-07-12 22:31:47,41.37,-73.41,87.01,48,1,12.75,clear sky,0,0.0
22,Rio Grande,BR,2020-07-12 22:31:47,-32.03,-52.1,44.01,95,88,9.91,overcast clouds,0,0.0
23,Yellowknife,CA,2020-07-12 22:29:47,62.46,-114.35,69.01,59,75,4.7,broken clouds,0,0.0
24,Punta Arenas,CL,2020-07-12 22:31:48,-53.15,-70.92,35.6,84,75,20.8,light intensity shower rain,0,0.0
25,Ales,FR,2020-07-12 22:31:48,44.13,4.08,71.01,49,57,3.0,broken clouds,0,0.0
26,Byron Bay,AU,2020-07-12 22:31:48,-28.65,153.62,57.0,93,40,5.82,scattered clouds,0,0.0
27,Mporokoso,ZM,2020-07-12 22:31:48,-9.37,30.12,62.26,52,0,9.86,clear sky,0,0.0
28,Esperance,AU,2020-07-12 22:31:48,-33.87,121.9,48.2,61,0,19.46,clear sky,0,0.0
29,Faanui,PF,2020-07-12 22:31:48,-16.48,-151.75,79.21,75,100,14.92,overcast clouds,0,0.0
30,Torbay,CA,2020-07-12 22:30:05,47.67,-52.73,61.0,82,90,13.87,overcast clouds,0,0.0
31,Dikson,RU,2020-07-12 22:31:49,73.51,80.55,41.5,97,99,4.56,overcast clouds,0,0.0
32,Lompoc,US,2020-07-12 22:31:25,34.64,-120.46,77.0,60,0,13.87,clear sky,0,0.0
33,Marsa Matruh,EG,2020-07-12 22:31:49,31.35,27.25,75.2,78,40,6.93,scattered clouds,0,0.0
34,Atuona,PF,2020-07-12 22:31:49,-9.8,-139.03,80.29,75,2,20.13,clear sky,0,0.0
35,North Bend,US,2020-07-12 22:31:49,43.41,-124.22,68.0,77,75,24.16,broken clouds,0,0.0
36,Hualmay,PE,2020-07-12 22:31:49,-11.1,-77.61,62.46,78,7,6.85,clear sky,0,0.0
37,Pine Hills,US,2020-07-12 22:31:50,28.56,-81.45,93.99,52,75,14.99,thunderstorm,0,0.0
38,Shatrovo,RU,2020-07-12 22:31:50,56.52,64.63,61.2,83,0,7.0,clear sky,0,0.0
39,Husavik,IS,2020-07-12 22:29:54,66.04,-17.34,53.6,81,90,5.82,drizzle,0,0.0
40,Butaritari,KI,2020-07-12 22:31:50,3.07,172.79,83.61,77,58,13.65,broken clouds,0,0.0
41,Bichena,ET,2020-07-12 22:31:50,10.45,38.2,54.97,97,95,1.3,light rain,0,0.74
42,Ixtapa,MX,2020-07-12 22:31:51,20.7,-105.2,86.0,74,75,5.82,broken clouds,0,0.0
43,Airai,TL,2020-07-12 22:30:50,-8.93,125.41,59.13,87,94,4.79,overcast clouds,0,0.0
44,Cabo San Lucas,MX,2020-07-12 22:31:51,22.89,-109.91,95.0,44,40,4.7,scattered clouds,0,0.0
45,Razdolinsk,RU,2020-07-12 22:31:51,58.42,94.67,57.79,79,0,1.54,clear sky,0,0.0
46,Tuktoyaktuk,CA,2020-07-12 22:31:51,69.45,-133.04,57.2,62,75,11.41,broken clouds,0,0.0
47,Nikolskoye,RU,2020-07-12 22:28:45,59.7,30.79,53.6,81,86,1.63,overcast clouds,0,0.0
48,Tasiilaq,GL,2020-07-12 22:28:43,65.61,-37.64,39.2,86,0,6.93,clear sky,0,0.0
49,New Norfolk,AU,2020-07-12 22:31:52,-42.78,147.06,37.0,92,0,2.3,clear sky,0,0.0
50,Pevek,RU,2020-07-12 22:31:52,69.7,170.31,48.72,71,73,4.85,broken clouds,0,0.0
51,Vanimo,PG,2020-07-12 22:31:52,-2.67,141.3,80.19,82,100,1.57,light rain,0,0.74
52,Labuhan,ID,2020-07-12 22:31:52,-6.88,112.21,74.8,87,86,7.25,overcast clouds,0,0.0
53,Palmer,US,2020-07-12 22:31:53,42.16,-72.33,87.8,45,40,6.93,scattered clouds,0,0.0
54,Hithadhoo,MV,2020-07-12 22:30:24,-0.6,73.08,84.97,71,82,8.9,broken clouds,0,0.0
55,Barrow,US,2020-07-12 22:31:53,71.29,-156.79,37.4,91,90,8.05,overcast clouds,0,0.0
56,Paamiut,GL,2020-07-12 22:28:44,61.99,-49.67,44.37,82,100,5.39,overcast clouds,0,0.0
57,Trincomalee,LK,2020-07-12 22:31:53,8.57,81.23,80.8,77,99,17.27,overcast clouds,0,0.0
