,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,77.0,-22.97,-42.03,Pousada Porto Praia
1,Saldanha,ZA,57.2,-33.01,17.94,Blue Bay Lodge
2,Te Anau,NZ,35.8,-45.42,167.72,Kingsgate Hotel Te Anau
3,Jamestown,US,73.99,42.1,-79.24,Hampton Inn & Suites Jamestown
4,Upernavik,GL,41.86,72.79,-56.15,Gina's Guesthouse - Upernavik
5,Narsaq,GL,53.6,60.92,-46.05,Hotel Narsaq
6,Busselton,AU,55.0,-33.65,115.33,Observatory Guest House
7,Longyearbyen,SJ,46.4,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
8,Rikitea,PF,71.15,-23.12,-134.97,Pension Maro'i
9,Hobart,AU,39.2,-42.88,147.33,St Ives Apartments
10,Naron,ES,66.99,43.52,-8.15,Marcial
11,Kapaa,US,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
12,Kayerkan,RU,53.6,69.35,87.76,
13,Albany,US,86.0,42.6,-73.97,
14,Bongor,TD,76.46,10.28,15.37,Complexe le Confort
15,Ushuaia,AR,35.6,-54.8,-68.3,Albatros Hotel
16,Port Alfred,ZA,58.14,-33.59,26.89,The Halyards Hotel
17,Vila Franca Do Campo,PT,68.0,37.72,-25.43,Pestana Bahia Praia
18,Port Elizabeth,ZA,44.6,-33.92,25.57,39 On Nile Guest House
19,Bluff,NZ,39.0,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
20,Namatanai,PG,76.53,-3.67,152.43,Namatanai Hotel
21,Bethel,US,87.01,41.37,-73.41,Courtyard by Marriott Danbury
22,Rio Grande,BR,44.01,-32.03,-52.1,Swan Express Rio Grande
23,Yellowknife,CA,69.01,62.46,-114.35,The Explorer Hotel
24,Punta Arenas,CL,35.6,-53.15,-70.92,Hotel Dreams Del Estrecho
25,Ales,FR,71.01,44.13,4.08,ibis Alès Centre-Ville
26,Byron Bay,AU,57.0,-28.65,153.62,Backpackers Inn on the Beach
27,Mporokoso,ZM,62.26,-9.37,30.12,Fairview Home Lodge
28,Esperance,AU,48.2,-33.87,121.9,Hospitality Esperance
29,Faanui,PF,79.21,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Torbay,CA,61.0,47.67,-52.73,Gallows Cove
31,Dikson,RU,41.5,73.51,80.55,
32,Lompoc,US,77.0,34.64,-120.46,Holiday Inn Express Lompoc
33,Marsa Matruh,EG,75.2,31.35,27.25,Beau Site
